Year,Winter Mean Temperature,Winter Precipitation
1940,-8.649450549450549,0.41098901098901097
1941,-6.771111111111111,0.33
1942,-6.838888888888889,0.7111111111111111
1943,-6.593333333333333,0.49777777777777776
1944,-5.364835164835164,0.3769230769230769
1945,-8.226666666666667,0.8444444444444444
1946,-6.427777777777778,0.4177777777777778
1947,-7.319999999999999,0.7344444444444443
1948,-9.782417582417583,0.7967032967032966
1949,-14.530000000000001,1.0044444444444443
1950,-12.915555555555557,0.3655555555555555
1951,-11.657303370786517,0.7629213483146068
1952,-8.381318681318682,0.489010989010989
1953,-6.031111111111111,1.0344444444444443
1954,-7.742222222222222,0.7877777777777778
1955,-9.702222222222222,0.8166666666666667
1956,-11.064835164835165,0.7384615384615385
1957,-8.912222222222223,0.4888888888888889
1958,-5.602222222222222,0.37777777777777777
1959,-8.209999999999999,0.4766666666666666
1960,-7.364835164835165,0.756043956043956
1961,-6.123333333333334,0.5355555555555556
1962,-7.338888888888889,0.34555555555555556
1963,-7.546666666666667,0.6066666666666667
1964,-8.024175824175824,0.310989010989011
1965,-9.891111111111112,0.3966666666666667
1966,-11.062222222222223,0.24000000000000002
1967,-8.313333333333334,0.5077777777777778
1968,-10.235164835164834,0.4461538461538462
1969,-13.707777777777778,0.33
1970,-9.931111111111111,0.3533333333333333
1971,-10.97111111111111,0.6933333333333334
1972,-13.872527472527473,0.8197802197802198
1973,-7.117777777777778,0.3433333333333333
1974,-6.742222222222222,0.35555555555555557
1975,-8.912222222222223,0.6088888888888888
1976,-4.776923076923077,0.3098901098901099
1977,-6.892222222222221,0.40444444444444444
1978,-12.035555555555556,0.5322222222222222
1979,-11.615555555555556,0.33666666666666667
1980,-9.920879120879121,0.4571428571428572
1981,-3.9955555555555557,0.19333333333333333
1982,-11.526666666666667,0.45666666666666667
1983,-7.976666666666667,0.3088888888888889
1984,-5.194505494505495,0.2175824175824176
1985,-5.3788888888888895,0.3111111111111111
1986,-3.5144444444444445,0.14666666666666667
1987,-1.8166666666666667,0.1
1988,-5.814285714285715,0.14835164835164835
1989,-7.808888888888888,0.64
1990,-7.285555555555556,0.2633333333333333
1991,-3.404444444444444,0.2677777777777778
1992,-3.8237499999999995,0.22999999999999998
1993,-5.039189189189189,0.2472972972972973
1994,-9.425555555555555,0.2822222222222222
1995,-7.937777777777778,0.3088888888888889
1996,-12.025274725274725,0.5395604395604395
1997,-6.047777777777777,0.31666666666666665
1998,-8.49777777777778,0.42888888888888893
1999,-3.4277777777777776,0.14555555555555555
2000,-8.827472527472526,0.4351648351648352
2001,-6.630000000000001,0.16111111111111112
2002,-4.243333333333333,0.34444444444444444
2003,-6.084444444444444,0.3111111111111111
2004,-6.138461538461539,0.367032967032967
2005,-5.525555555555556,0.2577777777777778
2006,-2.933333333333333,0.3422222222222222
2007,-6.662222222222223,0.43333333333333335
2008,-8.252747252747254,0.6197802197802198
2009,-8.658888888888889,0.5288888888888889
2010,-6.3,0.29333333333333333
2011,-6.5633333333333335,0.5466666666666667
2012,-6.554545454545454,0.3852272727272727
2013,-6.286153846153846,0.7
2014,-6.017777777777778,0.2688888888888889
2015,-4.474444444444444,0.6715909090909091
2016,-4.822222222222222,0.4077777777777778
2017,-7.0813953488372094,0.8022222222222223
2018,-6.750574712643678,0.6611111111111111
2019,-8.406666666666666,0.5911111111111111
2020,-7.382657696166268,0.608007699359817
